symbol,train_mae,train_mse,train_r2,test_mae,test_mse,test_r2,next_day_prediction
AMZN,0.8977,1.2734,0.9985,2.9957,15.8557,0.9865,221.8782
AAPL,0.4286,0.3578,0.9988,2.6541,12.9553,0.9909,210.6605
GOOGL,0.4509,0.5806,0.9989,2.2886,9.3957,0.9876,177.949
005930.KS,351.5538,287329.2619,0.9981,996.4562,1673499.6517,0.9806,62037.12
2317.TW,0.9901,1.7034,0.9965,1.7062,7.6566,0.9947,163.1873
MSFT,0.675,1.5232,0.9987,5.386,50.0006,0.9924,500.5797
JD,0.9054,2.0185,0.9939,0.7351,1.0504,0.9686,31.128
BABA,2.6676,15.0308,0.9955,1.8792,7.7138,0.9784,106.5826
T,0.1653,0.048,0.9975,0.2342,0.1073,0.9918,27.3832
META,3.5761,35.4067,0.9952,8.9833,167.8872,0.9941,722.6456
