date,title,description,sentiment,confidence
2025-07-13,"Meituan’s daily orders hit record 150 million amid rivalry with JD.com, Alibaba","Meituan, mainland China’s top on-demand delivery giant, said on Sunday that daily orders on its platform have surged to another all-time high – a sign that the company has managed to fend off competition from rivals like JD.com and Alibaba Group Holding. The …",positive,0.9493516683578491
2025-07-13,Xi’s price-war campaign creates a buzz in China’s stock market,"(Bloomberg) -- For strategists at JPMorgan Chase & Co. and Goldman Sachs Group Inc. as well as money managers in Hong Kong and Singapore, an opaque term has ...",neutral,0.7788571119308472
2025-07-12,"Due To Limited Supply, People Wait In Long Queues To Get RTX 5080 And RTX 5070 Founders Edition In China",The GeForce RTX 5070 and RTX 5080 Founders Edition are the only two RTX 50 series FE designs you can find selling in China but they are available in limited quantities. People Lineup Up in Long Queues at the NVIDIA Booth to Grab an RTX 5080 or RTX 5070 FE Car…,neutral,0.8752910494804382
2025-07-12,UBS Affirms JD.com’s (JD) ‘Buy’ rating Cuts Price Target on Spending Concerns,"In This Article: JD.com, Inc. (NASDAQ:JD) is one of the top e-commerce stocks with significant long-term potential. On July 10, UBS reiterated a ‘Buy’ rating on the stock. However, the research firm cut its price target to $50 from $58 amid concerns over incr…",negative,0.8586137294769287
2025-07-12,UBS Affirms JD.com’s (JD) ‘Buy’ rating Cuts Price Target on Spending Concerns,"JD.com, Inc. (NASDAQ:JD) is one of the top e-commerce stocks with significant long-term potential. On July 10, UBS reiterated a ‘Buy’ rating on the stock...",positive,0.9036508202552795
2025-07-12,"World Investment Advisors Takes $242,000 Position in JD.com, Inc. (NASDAQ:JD)","World Investment Advisors purchased a new stake in shares of JD.com, Inc. (NASDAQ:JD – Free Report) in the 1st quarter, Holdings Channel reports. The fund purchased 5,894 shares of the information services provider’s stock, valued at approximately $242,000. S…",neutral,0.9310153126716614
2025-07-12,UBS Group Cuts JD.com (NASDAQ:JD) Price Target to $50.00,"JD.com (NASDAQ:JD – Get Free Report) had its price target cut by analysts at UBS Group from $58.00 to $50.00 in a research report issued on Thursday,Benzinga reports. The firm presently has a “buy” rating on the information services provider’s stock. UBS Grou…",negative,0.8022840023040771
2025-07-12,Viomi Technology (VIOT) vs. Its Rivals Critical Survey,"Insider & Institutional Ownership 1.2% of Viomi Technology shares are held by institutional investors. Comparatively, 42.1% of shares of all “INTERNET SERVICES” companies are held by institutional investors. 34.3% of Viomi Technology shares are held by inside…",neutral,0.9546769857406616
2025-07-12,China Reports Worst Producer Deflation In 2 Years Amid Ongoing Trade Uncertainty,"China’s factory-gate prices in June saw the biggest fall in two years amid uncertainty in international trade and weak domestic demand.According to figures released on July 9 by China’s National Bureau of Statistics, the producer price index for industrial pr…",negative,0.9727398753166199
2025-07-12,China Softening On Crypto? Shanghai Hosts Rare Digital Currency Policy Meeting,"In a rare move, a Shanghai regulator just held a meeting on stablecoins and digital currencies. Is China warming up to crypto? Shanghai Regulator Discussed Crypto In A Meeting Shanghai State-owned Assets Supervision and Administration Commission (SASAC) held …",neutral,0.8324549198150635
