date,title,description,sentiment,confidence
2025-07-13,"As Trump turns his back on renewables, China is building the future",It's entirely appropriate that Albanese is meeting Xi again before he meets Trump for the first time. Xi is more important than Trump now.,neutral,0.8824485540390015
2025-07-13,Canadian universities too should be in Francesca Albanese’s report,Canadian university administrators should remember that they too can be held accountable for genocide complicity.,neutral,0.8079618215560913
2025-07-13,Digital Employees Will Mean We Need Non-Human Resources Departments,"Personally, I suspect that the Non-Human Resources Department of a bank will find life much easier than the Human-Resources Department!",neutral,0.7972970008850098
2025-07-13,Traction Financial Partners LLC Reduces Stake in Microsoft Corporation (NASDAQ:MSFT),"Traction Financial Partners LLC lowered its holdings in Microsoft Corporation (NASDAQ:MSFT – Free Report) by 20.1% during the 1st quarter, according to the company in its most recent filing with the Securities & Exchange Commission. The institutional investor…",negative,0.9569620490074158
2025-07-13,Microsoft Corporation (NASDAQ:MSFT) Stock Holdings Increased by Alpha Omega Wealth Management LLC,"Alpha Omega Wealth Management LLC lifted its holdings in Microsoft Corporation (NASDAQ:MSFT – Free Report) by 2.0% in the first quarter, HoldingsChannel reports. The firm owned 54,387 shares of the software giant’s stock after purchasing an additional 1,054 s…",positive,0.9476391673088074
2025-07-13,Visionary Horizons LLC Raises Stock Position in Microsoft Corporation (NASDAQ:MSFT),"Visionary Horizons LLC grew its holdings in Microsoft Corporation (NASDAQ:MSFT – Free Report) by 6.2% during the first quarter, according to the company in its most recent filing with the SEC. The fund owned 3,694 shares of the software giant’s stock after ac…",positive,0.8364336490631104
2025-07-13,Microsoft Corporation (NASDAQ:MSFT) Shares Sold by McKinley Carter Wealth Services Inc.,"McKinley Carter Wealth Services Inc. decreased its holdings in Microsoft Corporation (NASDAQ:MSFT – Free Report) by 0.5% in the first quarter, according to its most recent filing with the Securities and Exchange Commission. The firm owned 44,070 shares of the…",negative,0.9671932458877563
2025-07-13,Microsoft Corporation (NASDAQ:MSFT) is Bard Financial Services Inc.’s 2nd Largest Position,"Bard Financial Services Inc. trimmed its position in shares of Microsoft Corporation (NASDAQ:MSFT – Free Report) by 1.6% in the first quarter, Holdings Channel.com reports. The firm owned 154,284 shares of the software giant’s stock after selling 2,574 shares…",negative,0.8482927083969116
2025-07-13,Redhawk Wealth Advisors Inc. Acquires 585 Shares of Microsoft Corporation (NASDAQ:MSFT),"Redhawk Wealth Advisors Inc. grew its stake in shares of Microsoft Corporation (NASDAQ:MSFT – Free Report) by 3.8% during the 1st quarter, Holdings Channel reports. The firm owned 16,060 shares of the software giant’s stock after buying an additional 585 shar…",positive,0.8249037861824036
2025-07-13,Focus Financial Network Inc. Acquires 968 Shares of Microsoft Corporation (NASDAQ:MSFT),"Focus Financial Network Inc. grew its position in Microsoft Corporation (NASDAQ:MSFT – Free Report) by 1.2% in the first quarter, Holdings Channel.com reports. The fund owned 80,263 shares of the software giant’s stock after buying an additional 968 shares du…",positive,0.8560544848442078
2025-07-13,Transform Wealth LLC Sells 365 Shares of Microsoft Corporation (NASDAQ:MSFT),"Transform Wealth LLC decreased its position in Microsoft Corporation (NASDAQ:MSFT – Free Report) by 0.2% in the first quarter, according to its most recent 13F filing with the SEC. The firm owned 150,910 shares of the software giant’s stock after selling 365 …",negative,0.9725509881973267
2025-07-13,Microsoft Corporation (NASDAQ:MSFT) Shares Bought by Columbia Advisory Partners LLC,"Columbia Advisory Partners LLC boosted its position in shares of Microsoft Corporation (NASDAQ:MSFT – Free Report) by 10.2% in the first quarter, HoldingsChannel.com reports. The fund owned 3,007 shares of the software giant’s stock after acquiring an additio…",positive,0.9362975358963013
2025-07-13,Head to Head Comparison: FARO Technologies (NASDAQ:FARO) & International Business Machines (NYSE:IBM),"FARO Technologies (NASDAQ:FARO – Get Free Report) and International Business Machines (NYSE:IBM – Get Free Report) are both computer and technology companies, but which is the better stock? We will contrast the two companies based on the strength of their ins…",neutral,0.9060177206993103
2025-07-13,Best Technology Stocks Worth Watching – July 11th,"NVIDIA, Meta Platforms, Palantir Technologies, Advanced Micro Devices, Coinbase Global, Microsoft, and Apple are the seven Technology stocks to watch today, according to MarketBeat’s stock screener tool. Technology stocks are shares of companies whose core bu…",neutral,0.9370349645614624
2025-07-12,"Mouse drag, Quasar in Event Viewer though can not find it, Network Errors","Mouse drag, Quasar in Event Viewer though can not find it, Network Errors - posted in Virus, Trojan, Spyware, and Malware Removal Help: Just went weird after plugin of a battery charger to USB Port. Programs & launchers disappear at times and need to laun…",negative,0.7308474183082581
2025-07-12,These are America's 10 strongest state economies best prepared for a recession,"With concerns about a possible recession, states are promoting themselves to business as economically strong and stable. These ten states prove it.",positive,0.7688513994216919
2025-07-12,Merck Faces Pressure Over Global Tax Practices,"Big pharma competes bitterly with the tech giants for the title of the most dodgy corporate sector in the world. Given this battle, it is astonishing that, on May 27, 2025, nearly one-quarter of shareholders at Merck & Co. (MRK, known outside of North America…",neutral,0.614091157913208
2025-07-12,CX Institutional Has $31.60 Million Stock Position in Microsoft Corporation (NASDAQ:MSFT),"CX Institutional lifted its holdings in shares of Microsoft Corporation (NASDAQ:MSFT – Free Report) by 7.4% during the 1st quarter, according to the company in its most recent 13F filing with the Securities & Exchange Commission. The fund owned 84,176 shares …",positive,0.9337846636772156
2025-07-12,Monarch Capital Management Inc. Reduces Stock Holdings in Microsoft Corporation (NASDAQ:MSFT),"Monarch Capital Management Inc. lowered its stake in shares of Microsoft Corporation (NASDAQ:MSFT – Free Report) by 0.5% during the first quarter, HoldingsChannel reports. The firm owned 50,164 shares of the software giant’s stock after selling 243 shares dur…",negative,0.9424437284469604
2025-07-12,Microsoft Corporation (NASDAQ:MSFT) Stock Position Trimmed by Franklin Street Advisors Inc. NC,"Franklin Street Advisors Inc. NC reduced its stake in Microsoft Corporation (NASDAQ:MSFT – Free Report) by 2.2% during the first quarter, HoldingsChannel reports. The firm owned 226,407 shares of the software giant’s stock after selling 5,013 shares during th…",negative,0.9659707546234131
