date,title,description,sentiment,confidence
2025-08-06,The Chinese version of the Gamesir Nova 2 Lite is getting an Iron Man Edition,"GameSir has announced an Iron Man edition of its wireless controller, the Morning Star 2 a.k.a. Nova 2 Lite. There will also be three other special editions, two of which are tied to Chinese video games.",neutral,0.8602793216705322
2025-08-06,The Chinese version of the Gamesir Nova 2 Lite is getting an Iron Man Edition,"GameSir has announced an Iron Man edition of its wireless controller, the Morning Star 2 a.k.a. Nova 2 Lite. There will also be three other special editions, two of which are tied to Chinese video games.",neutral,0.8602793216705322
2025-08-05,China Market Update: Massive Inflow Into Hong Kong Stocks From Mainland China Overnight,"Asian equities had a strong day, led by Australia, South Korea, Taiwan, Thailand, and Vietnam, while India underperformed, as the US dollar weakened overnight.",positive,0.9144267439842224
2025-08-05,Lenovo launches two new lightweight tablets with flagship and mid-range hardware at the helm,"Lenovo has launched two new lightweight tablets with modern MediaTek and Qualcomm chipsets. Arriving as the Xiaoxin Tablet 12.1 and Xiaoxin Tablet Pro GT, the pair are both relatively thin despite their internal hardware too.",neutral,0.8478885889053345
2025-08-05,Alibaba to Shut Costco-Like China Stores After Rivalry Heats Up,"Alibaba Group Holding Ltd. plans to gradually wind down the last of its Costco-like members-only stores, underscoring its retreat from a hyper-competitive Chinese retail arena.",negative,0.8900230526924133
2025-08-05,Chinese retailer JD to launch five discount stores as competition intensifies,"The first outlet in Zhuozhou will span 5,000 square metres and will carry everything from detergent to chocolate, with prices intended to be below prevailing market levels. JD first entered the market last year with the opening of two smaller discount stores …",neutral,0.8738362789154053
2025-08-05,JD.com to launch five discount stores as competition intensifies,,positive,0.8299293518066406
2025-08-05,JD.com to launch five discount stores as competition intensifies,"BEIJING (Reuters) -Chinese retailer JD.com plans to open five discount superstores in two Chinese cities, marking its latest move into new segments as...",positive,0.9034659266471863
2025-08-06,The Chinese version of the Gamesir Nova 2 Lite is getting an Iron Man Edition,"GameSir has announced an Iron Man edition of its wireless controller, the Morning Star 2 a.k.a. Nova 2 Lite. There will also be three other special editions, two of which are tied to Chinese video games.",neutral,0.8602793216705322
2025-08-05,China Market Update: Massive Inflow Into Hong Kong Stocks From Mainland China Overnight,"Asian equities had a strong day, led by Australia, South Korea, Taiwan, Thailand, and Vietnam, while India underperformed, as the US dollar weakened overnight.",positive,0.9144267439842224
