date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-07-17,AMZN,84,7,62,15,0.6899,0.8372,0.8593
2025-07-17,AAPL,81,11,52,18,0.7053,0.8427,0.7775
2025-07-17,GOOGL,84,6,68,10,0.811,0.8221,0.7156
2025-07-17,005930.KS,83,9,69,5,0.7267,0.8163,0.7804
2025-07-17,2317.TW,55,17,22,16,0.8476,0.7435,0.8826
2025-07-17,MSFT,84,6,58,20,0.6583,0.8216,0.8218
2025-07-17,JD,41,20,13,8,0.8199,0.8497,0.9039
2025-07-17,BABA,77,28,40,9,0.8069,0.8419,0.8239
2025-07-17,T,82,7,54,21,0.8084,0.8014,0.8439
2025-07-17,META,84,9,56,19,0.6582,0.8219,0.8638
