date_collected,symbol,total_articles,positive_count,neutral_count,negative_count,avg_confidence_positive,avg_confidence_neutral,avg_confidence_negative
2025-07-14,AAPL,83,16,48,19,0.8012,0.8302,0.8378
2025-07-14,MSFT,83,39,26,18,0.8463,0.8173,0.8947
2025-07-14,GOOGL,83,44,17,22,0.7972,0.8604,0.8714
2025-07-14,AMZN,84,33,34,17,0.8267,0.8581,0.9153
2025-07-14,NVDA,84,35,31,18,0.843,0.9055,0.9083
2025-07-14,META,77,29,32,16,0.8143,0.7905,0.8498
2025-07-14,TSLA,77,22,38,17,0.7535,0.8271,0.7722
2025-07-14,BRK-B,25,3,19,3,0.8584,0.9379,0.9401
2025-07-14,UNH,22,2,16,4,0.8958,0.9215,0.8351
2025-07-14,JPM,84,29,18,37,0.815,0.7311,0.8919
